match_key,level,ncbi_taxon_id_if_available,n_dataset_rows,active_threshold_uM,inactive_threshold_uM,source,notes
Shigella sonnei,species,624,58,,,,
Bacillus thuringiensis,species,1428,58,,,,
Salmonella sp.,species,599,58,,,,
Haemophilus,genus,,58,,,,
Campylobacter jejuni,species,197,56,,,,
Prevotella,genus,,55,,,,
Staphylococcus carnosus,species,1281,53,,,,
Streptococcus iniae,species,1346,52,,,,
Burkholderia cepacia,species,292,51,,,,
Clostridioides difficile,species,1496,51,,,,
Vibrio vulnificus,species,672,51,,,,
Clostridioides,genus,,51,,,,
Eubacterium,genus,,51,,,,
Streptococcus group,species,1301,50,,,,
Psychrobacter faecalis,species,180588,50,,,,
Yersinia pestis,species,632,50,,,,
Agrobacterium,genus,,50,,,,
Neisseria gonorrhoeae,species,485,49,,,,
Bacillus pumilus,species,1408,49,,,,
Eubacterium rectale,species,1730,49,,,,
Agrobacterium tumefaciens,species,358,48,,,,
Prevotella copri,species,838,48,,,,
Rhodococcus,genus,,47,,,,
Staphylococcus simulans,species,1286,46,,,,
Aerococcus viridans,species,1377,45,,,,
Edwardsiella tarda,species,636,45,,,,
Aerococcus,genus,,45,,,,
Yersinia pseudotuberculosis,species,633,44,,,,
Staphylococcus capitis,species,29388,43,,,,
Streptococcus suis,species,1307,43,,,,
Xanthomonas arboricola,species,56448,42,,,,
Burkholderia thailandensis,species,57975,42,,,,
Mycobacterium fortuitum,species,1766,42,,,,
Xanthomonas fragariae,species,48664,41,,,,
Bacillus coagulans,species,1398,41,,,,
Fusobacterium,genus,,41,,,,
Haemophilus influenzae,species,727,39,,,,
Aeromonas sobria,species,646,39,,,,
Lactobacillus,genus,,39,,,,
Streptococcus sobrinus,species,1310,38,,,,
Helicobacter pylori,species,210,38,,,,
Pseudomonas sp.,species,306,38,,,,
Helicobacter,genus,,38,,,,
Brucella,genus,,38,,,,
Mannheimia haemolytica,species,75985,37,,,,
Citrobacter koseri,species,545,37,,,,
Xanthomonas axonopodis,species,53413,37,,,,
Mannheimia,genus,,37,,,,
Legionella,genus,,37,,,,
Fusobacterium nucleatum,species,851,36,,,,
Alcaligenes faecalis,species,511,36,,,,
